TS                       Open     High      Low    Close Bias       BullFVG BearFVG BullIFVG BearIFVG
2025-12-02T01:19:00+00:00 25438.25 25438.25 25432.25 25435.25 Bearish          5       1        8        2
2025-12-02T01:20:00+00:00 25435.00 25440.75 25430.50 25438.75 Bullish          5       1        8        1
2025-12-02T01:21:00+00:00 25439.00 25441.00 25435.00 25436.25 Bullish          5       1        8        1
2025-12-02T01:22:00+00:00 25435.75 25439.75 25434.50 25438.00 Bullish          5       1        8        1
2025-12-02T01:23:00+00:00 25438.50 25440.00 25436.75 25438.75 Bullish          5       1        8        1
2025-12-02T01:24:00+00:00 25439.00 25444.00 25438.50 25441.00 Bullish          5       1        8        1
2025-12-02T01:25:00+00:00 25441.00 25442.00 25439.50 25440.50 Bullish          5       1        8        1
2025-12-02T01:26:00+00:00 25440.25 25444.00 25438.75 25443.25 Bullish          5       1        8        1
2025-12-02T01:27:00+00:00 25443.00 25445.00 25438.00 25438.00 Bearish          5       1        8        1
2025-12-02T01:28:00+00:00 25693.25 25693.25 25691.00 25691.00 Bullish          6       0        9        0
2025-12-02T01:29:00+00:00 25438.00 25440.25 25435.75 25437.50 Bearish          5       0        8        1
2025-12-02T01:30:00+00:00 25436.50 25436.50 25420.00 25420.75 Bearish          5       1        8        1
2025-12-02T01:31:00+00:00 25420.75 25427.25 25418.50 25421.75 Bearish          5       2        8        1
2025-12-02T01:32:00+00:00 25422.25 25427.75 25416.00 25424.75 Bearish          5       2        8        1
2025-12-02T01:33:00+00:00 25424.75 25430.25 25423.25 25427.00 Bearish          5       2        8        1
2025-12-02T01:34:00+00:00 25427.25 25427.25 25421.50 25423.00 Bearish          5       2        8        1
2025-12-02T01:35:00+00:00 25422.75 25427.50 25417.25 25419.25 Bearish          5       2        8        1
2025-12-02T01:36:00+00:00 25668.75 25668.75 25668.75 25668.75 Bullish          6       1        9        1
2025-12-02T01:37:00+00:00 25677.75 25677.75 25675.50 25677.00 Bullish          7       1        9        1
2025-12-02T01:38:00+00:00 25423.50 25425.25 25420.25 25423.25 Bearish          5       2        8        3
2025-12-02T01:39:00+00:00 25675.25 25675.25 25674.75 25674.75 Bullish          5       2        9        2
2025-12-02T01:40:00+00:00 25423.00 25424.75 25420.50 25422.75 Bearish          5       2        8        2
2025-12-02T01:41:00+00:00 25420.75 25426.25 25420.75 25424.50 Bearish          5       3        8        2
2025-12-02T01:42:00+00:00 25424.25 25424.25 25418.00 25420.00 Bearish          5       3        8        2
2025-12-02T01:43:00+00:00 25419.75 25421.25 25417.50 25418.75 Bearish          5       3        8        2
2025-12-02T01:44:00+00:00 25670.00 25670.00 25670.00 25670.00 Bullish          6       3        8        2
2025-12-02T01:45:00+00:00 25669.00 25669.00 25669.00 25669.00 Bearish          7       3        8        2
2025-12-02T01:46:00+00:00 25420.00 25423.25 25419.75 25421.25 Bearish          6       4        8        3
2025-12-02T01:47:00+00:00 25421.75 25422.25 25418.25 25420.75 Bearish          5       5        8        4
2025-12-02T01:48:00+00:00 25419.50 25420.25 25417.25 25419.50 Bearish          5       5        8        4
2025-12-02T01:49:00+00:00 25419.00 25420.50 25415.75 25418.00 Bearish          5       5        8        4
2025-12-02T01:50:00+00:00 25417.50 25419.75 25416.50 25417.50 Bearish          5       5        8        4
2025-12-02T01:51:00+00:00 25417.25 25421.25 25417.25 25417.75 Bearish          5       5        8        4
2025-12-02T01:52:00+00:00 25418.25 25420.75 25417.75 25419.50 Bearish          5       5        8        4
2025-12-02T01:53:00+00:00 25669.75 25669.75 25669.75 25669.75 Bullish          6       4        9        3
2025-12-02T01:54:00+00:00 25419.25 25422.75 25419.25 25422.25 Bearish          6       4        9        3
2025-12-02T01:55:00+00:00 25420.75 25420.75 25416.75 25417.25 Bearish          5       5        8        4
2025-12-02T01:56:00+00:00 25418.00 25418.75 25416.50 25417.25 Bearish          5       6        8        4
2025-12-02T01:57:00+00:00 25417.50 25420.50 25415.00 25417.50 Bearish          5       6        8        4
2025-12-02T01:58:00+00:00 25417.75 25417.75 25412.75 25413.75 Bearish          4       6        7        5
2025-12-02T01:59:00+00:00 25413.50 25416.25 25412.50 25413.50 Bearish          4       6        7        5
2025-12-02T02:00:00+00:00   252.90   252.90   252.90   252.90 Bearish          2       7        2        7
2025-12-02T02:01:00+00:00 25403.00 25403.50 25396.25 25401.75 Bullish          2       8        2        7
2025-12-02T02:02:00+00:00 25655.00 25655.00 25655.00 25655.00 Bullish          3       5        5        4
